id,low_income,low_and_middle_income,living_allowance
1,TRUE,FALSE,FALSE
2,TRUE,FALSE,FALSE
3,TRUE,FALSE,FALSE
4,TRUE,FALSE,TRUE
5,FALSE,TRUE,FALSE
6,FALSE,TRUE,FALSE
7,FALSE,FALSE,FALSE
8,FALSE,FALSE,FALSE
9,TRUE,FALSE,FALSE
10,FALSE,FALSE,FALSE
11,FALSE,FALSE,FALSE
12,TRUE,TRUE,FALSE
13,FALSE,TRUE,FALSE
14,FALSE,TRUE,FALSE
15,TRUE,TRUE,FALSE
16,FALSE,TRUE,FALSE
17,TRUE,FALSE,FALSE
18,FALSE,FALSE,FALSE
19,TRUE,FALSE,FALSE
20,FALSE,FALSE,FALSE
21,TRUE,FALSE,FALSE
22,FALSE,FALSE,FALSE
23,FALSE,TRUE,FALSE
24,FALSE,TRUE,FALSE
25,FALSE,TRUE,FALSE
26,TRUE,FALSE,FALSE
27,TRUE,TRUE,FALSE
28,FALSE,FALSE,FALSE
29,FALSE,FALSE,FALSE
30,FALSE,FALSE,FALSE
31,FALSE,FALSE,TRUE
32,FALSE,FALSE,TRUE
33,FALSE,FALSE,FALSE
34,FALSE,FALSE,FALSE
35,FALSE,FALSE,FALSE
36,FALSE,TRUE,TRUE
37,FALSE,FALSE,FALSE
38,FALSE,FALSE,TRUE
39,FALSE,FALSE,TRUE
40,TRUE,FALSE,FALSE
41,TRUE,FALSE,FALSE
42,TRUE,FALSE,FALSE
43,TRUE,TRUE,FALSE
44,TRUE,TRUE,FALSE
45,FALSE,FALSE,FALSE
46,TRUE,TRUE,FALSE
47,TRUE,TRUE,FALSE
48,FALSE,FALSE,FALSE
49,FALSE,FALSE,FALSE
50,FALSE,FALSE,FALSE
51,TRUE,TRUE,FALSE
52,TRUE,TRUE,FALSE
53,TRUE,TRUE,FALSE
54,FALSE,FALSE,FALSE
55,FALSE,FALSE,FALSE
56,TRUE,TRUE,FALSE
57,FALSE,FALSE,FALSE
58,FALSE,FALSE,FALSE
59,FALSE,FALSE,FALSE
60,FALSE,FALSE,FALSE
61,FALSE,FALSE,FALSE
62,TRUE,TRUE,TRUE
63,TRUE,TRUE,FALSE
64,FALSE,FALSE,FALSE
65,FALSE,FALSE,FALSE
66,FALSE,FALSE,FALSE
67,FALSE,FALSE,FALSE
68,TRUE,FALSE,FALSE
69,FALSE,TRUE,FALSE
70,FALSE,FALSE,FALSE
71,FALSE,FALSE,FALSE
72,FALSE,FALSE,FALSE
73,FALSE,FALSE,FALSE
74,FALSE,FALSE,FALSE
75,FALSE,FALSE,FALSE
76,FALSE,FALSE,FALSE
77,FALSE,FALSE,FALSE
78,FALSE,FALSE,FALSE
79,FALSE,FALSE,FALSE
80,FALSE,FALSE,FALSE
81,FALSE,FALSE,FALSE
82,FALSE,FALSE,FALSE
83,FALSE,FALSE,FALSE
84,FALSE,FALSE,FALSE
85,FALSE,FALSE,FALSE
86,FALSE,FALSE,FALSE
87,FALSE,FALSE,FALSE
88,FALSE,FALSE,FALSE
89,FALSE,FALSE,FALSE
90,FALSE,FALSE,FALSE
91,FALSE,FALSE,FALSE
92,FALSE,FALSE,FALSE
93,FALSE,FALSE,FALSE
94,FALSE,FALSE,FALSE
95,FALSE,FALSE,FALSE
96,FALSE,FALSE,FALSE
97,FALSE,FALSE,FALSE
98,FALSE,FALSE,FALSE
99,FALSE,FALSE,FALSE
100,TRUE,FALSE,FALSE
101,TRUE,TRUE,FALSE
102,TRUE,FALSE,FALSE
103,TRUE,FALSE,FALSE
104,TRUE,FALSE,FALSE
105,TRUE,FALSE,FALSE
106,TRUE,FALSE,FALSE
107,TRUE,TRUE,FALSE
108,TRUE,TRUE,FALSE
109,FALSE,FALSE,FALSE
110,FALSE,FALSE,FALSE
111,FALSE,FALSE,FALSE
112,FALSE,FALSE,FALSE
113,FALSE,FALSE,FALSE
114,FALSE,FALSE,FALSE
115,FALSE,FALSE,TRUE
116,FALSE,FALSE,TRUE
117,FALSE,TRUE,TRUE
118,FALSE,FALSE,FALSE
119,FALSE,FALSE,FALSE
120,FALSE,FALSE,FALSE
121,FALSE,FALSE,FALSE
122,FALSE,FALSE,FALSE
123,FALSE,FALSE,FALSE
124,FALSE,FALSE,FALSE
125,FALSE,FALSE,FALSE
126,FALSE,FALSE,FALSE
127,FALSE,FALSE,FALSE
128,FALSE,FALSE,FALSE
129,FALSE,FALSE,FALSE
130,FALSE,TRUE,TRUE
131,FALSE,FALSE,FALSE
132,FALSE,FALSE,FALSE
133,FALSE,FALSE,FALSE
134,FALSE,FALSE,FALSE
135,FALSE,FALSE,FALSE
136,FALSE,FALSE,FALSE
137,FALSE,FALSE,FALSE
138,TRUE,TRUE,FALSE
139,TRUE,TRUE,FALSE
140,FALSE,FALSE,FALSE
141,FALSE,FALSE,FALSE
142,FALSE,FALSE,FALSE
143,FALSE,FALSE,FALSE
144,FALSE,FALSE,FALSE
145,TRUE,TRUE,FALSE
146,FALSE,FALSE,FALSE
147,FALSE,FALSE,FALSE
148,FALSE,FALSE,FALSE
149,TRUE,TRUE,TRUE
150,FALSE,FALSE,TRUE
151,TRUE,TRUE,TRUE
152,FALSE,FALSE,FALSE
153,TRUE,TRUE,FALSE
154,TRUE,TRUE,FALSE
155,TRUE,TRUE,FALSE
156,TRUE,TRUE,FALSE
157,TRUE,TRUE,TRUE
158,FALSE,TRUE,TRUE
159,TRUE,FALSE,FALSE
160,TRUE,FALSE,FALSE
161,TRUE,TRUE,FALSE
162,TRUE,TRUE,FALSE
163,TRUE,TRUE,FALSE
164,TRUE,TRUE,FALSE
165,TRUE,TRUE,FALSE
166,TRUE,TRUE,FALSE
167,TRUE,TRUE,FALSE
168,TRUE,TRUE,FALSE
169,TRUE,TRUE,FALSE
170,TRUE,TRUE,FALSE
171,TRUE,TRUE,FALSE
172,TRUE,TRUE,FALSE
173,TRUE,TRUE,FALSE
174,TRUE,TRUE,FALSE
175,TRUE,TRUE,FALSE
176,TRUE,TRUE,FALSE
177,TRUE,TRUE,FALSE