id,aboriginal,new_immigrants
1,FALSE,FALSE
2,FALSE,FALSE
3,FALSE,FALSE
4,FALSE,FALSE
5,FALSE,FALSE
6,FALSE,FALSE
7,FALSE,FALSE
8,FALSE,FALSE
9,FALSE,FALSE
10,FALSE,FALSE
11,FALSE,FALSE
12,FALSE,FALSE
13,FALSE,FALSE
14,FALSE,FALSE
15,FALSE,FALSE
16,FALSE,FALSE
17,FALSE,FALSE
18,FALSE,FALSE
19,FALSE,FALSE
20,TRUE,FALSE
21,FALSE,FALSE
22,FALSE,FALSE
23,FALSE,FALSE
24,FALSE,FALSE
25,FALSE,FALSE
26,FALSE,FALSE
27,FALSE,FALSE
28,FALSE,FALSE
29,FALSE,FALSE
30,FALSE,FALSE
31,FALSE,FALSE
32,FALSE,FALSE
33,FALSE,FALSE
34,FALSE,FALSE
35,FALSE,FALSE
36,FALSE,FALSE
37,FALSE,FALSE
38,FALSE,FALSE
39,FALSE,FALSE
40,FALSE,FALSE
41,FALSE,FALSE
42,FALSE,FALSE
43,FALSE,FALSE
44,FALSE,FALSE
45,FALSE,FALSE
46,FALSE,FALSE
47,FALSE,FALSE
48,FALSE,FALSE
49,FALSE,FALSE
50,FALSE,FALSE
51,FALSE,FALSE
52,FALSE,FALSE
53,FALSE,FALSE
54,FALSE,FALSE
55,FALSE,FALSE
56,FALSE,FALSE
57,FALSE,FALSE
58,FALSE,FALSE
59,FALSE,FALSE
60,FALSE,FALSE
61,FALSE,FALSE
62,FALSE,FALSE
63,FALSE,FALSE
64,FALSE,FALSE
65,FALSE,FALSE
66,FALSE,FALSE
67,FALSE,FALSE
68,FALSE,FALSE
69,FALSE,FALSE
70,FALSE,FALSE
71,FALSE,FALSE
72,FALSE,FALSE
73,FALSE,FALSE
74,FALSE,FALSE
75,FALSE,FALSE
76,FALSE,FALSE
77,FALSE,FALSE
78,FALSE,FALSE
79,FALSE,FALSE
80,FALSE,FALSE
81,FALSE,FALSE
82,FALSE,FALSE
83,FALSE,FALSE
84,FALSE,FALSE
85,FALSE,FALSE
86,FALSE,FALSE
87,FALSE,FALSE
88,FALSE,FALSE
89,FALSE,FALSE
90,FALSE,FALSE
91,FALSE,FALSE
92,FALSE,FALSE
93,FALSE,FALSE
94,FALSE,FALSE
95,FALSE,FALSE
96,FALSE,FALSE
97,FALSE,FALSE
98,FALSE,FALSE
99,FALSE,FALSE
100,FALSE,FALSE
101,FALSE,FALSE
102,FALSE,FALSE
103,FALSE,FALSE
104,FALSE,FALSE
105,FALSE,FALSE
106,FALSE,FALSE
107,FALSE,FALSE
108,FALSE,FALSE
109,FALSE,FALSE
110,FALSE,FALSE
111,FALSE,FALSE
112,FALSE,FALSE
113,FALSE,FALSE
114,FALSE,FALSE
115,FALSE,FALSE
116,FALSE,FALSE
117,FALSE,FALSE
118,FALSE,FALSE
119,FALSE,FALSE
120,FALSE,FALSE
121,FALSE,FALSE
122,FALSE,FALSE
123,FALSE,FALSE
124,FALSE,FALSE
125,TRUE,FALSE
126,FALSE,FALSE
127,FALSE,FALSE
128,FALSE,FALSE
129,FALSE,FALSE
130,FALSE,FALSE
131,FALSE,FALSE
132,FALSE,FALSE
133,TRUE,FALSE
134,FALSE,FALSE
135,FALSE,FALSE
136,FALSE,FALSE
137,FALSE,FALSE
138,FALSE,FALSE
139,TRUE,FALSE
140,FALSE,FALSE
141,FALSE,FALSE
142,FALSE,FALSE
143,FALSE,FALSE
144,FALSE,FALSE
145,FALSE,FALSE
146,FALSE,TRUE
147,FALSE,FALSE
148,FALSE,FALSE
149,FALSE,FALSE
150,TRUE,FALSE
151,TRUE,FALSE
152,FALSE,FALSE
153,FALSE,FALSE
154,FALSE,FALSE
155,FALSE,FALSE
156,FALSE,FALSE
157,FALSE,FALSE
158,FALSE,FALSE
159,FALSE,FALSE
160,FALSE,FALSE
161,FALSE,FALSE
162,FALSE,FALSE
163,FALSE,FALSE
164,FALSE,FALSE
165,FALSE,FALSE
166,FALSE,FALSE
167,FALSE,FALSE
168,FALSE,FALSE
169,FALSE,FALSE
170,FALSE,FALSE
171,FALSE,FALSE
172,FALSE,FALSE
173,FALSE,FALSE
174,FALSE,FALSE
175,FALSE,FALSE
176,FALSE,FALSE
177,FALSE,FALSE