id,低收入戶,中低收入戶
1,TRUE,FALSE
2,TRUE,FALSE
3,TRUE,FALSE
4,TRUE,FALSE
5,FALSE,TRUE
6,FALSE,TRUE
7,FALSE,FALSE
8,FALSE,FALSE
9,TRUE,FALSE
10,FALSE,FALSE
11,FALSE,FALSE
12,TRUE,TRUE
13,FALSE,TRUE
14,FALSE,TRUE
15,TRUE,TRUE
16,FALSE,TRUE
17,TRUE,FALSE
18,FALSE,FALSE
19,TRUE,FALSE
20,FALSE,FALSE
21,TRUE,FALSE
22,FALSE,FALSE
23,FALSE,TRUE
24,FALSE,TRUE
25,FALSE,TRUE
26,TRUE,FALSE
27,TRUE,TRUE
28,FALSE,FALSE
29,FALSE,FALSE
30,FALSE,FALSE
31,FALSE,FALSE
32,FALSE,FALSE
33,FALSE,FALSE
34,FALSE,FALSE
35,FALSE,FALSE
36,FALSE,TRUE
37,FALSE,FALSE
38,FALSE,FALSE
39,FALSE,FALSE
40,TRUE,FALSE
41,TRUE,FALSE
42,TRUE,FALSE
43,TRUE,TRUE
44,TRUE,TRUE
45,FALSE,FALSE
46,TRUE,TRUE
47,TRUE,TRUE
48,FALSE,FALSE
49,FALSE,FALSE
50,FALSE,FALSE
51,TRUE,TRUE
52,TRUE,TRUE
53,TRUE,TRUE
54,FALSE,FALSE
55,FALSE,FALSE
56,TRUE,TRUE
57,FALSE,FALSE
58,FALSE,FALSE
59,FALSE,FALSE
60,FALSE,FALSE
61,FALSE,FALSE
62,TRUE,TRUE
63,TRUE,TRUE
64,FALSE,FALSE
65,FALSE,FALSE
66,FALSE,FALSE
67,FALSE,FALSE
68,TRUE,FALSE
69,FALSE,TRUE
70,FALSE,FALSE
71,FALSE,FALSE
72,FALSE,FALSE
73,FALSE,FALSE
74,FALSE,FALSE
75,FALSE,FALSE
76,FALSE,FALSE
77,FALSE,FALSE
78,FALSE,FALSE
79,FALSE,FALSE
80,FALSE,FALSE
81,FALSE,FALSE
82,FALSE,FALSE
83,FALSE,FALSE
84,FALSE,FALSE
85,FALSE,FALSE
86,FALSE,FALSE
87,FALSE,FALSE
88,FALSE,FALSE
89,FALSE,FALSE
90,FALSE,FALSE
91,FALSE,FALSE
92,FALSE,FALSE
93,FALSE,FALSE
94,FALSE,FALSE
95,FALSE,FALSE
96,FALSE,FALSE
97,FALSE,FALSE
98,FALSE,FALSE
99,FALSE,FALSE
100,TRUE,FALSE
101,TRUE,TRUE